YEAR,SEX,AGE,EDUC,SPEDUC,PAEDUC,MAEDUC,WGSTAT,SPINCMR,WGWKHR,WGUNN,WGNOEMP,RINCOME,KIDNUM10,CULTBIAS5,INDLIMIT,LEISUREI,DINNER,BLOODTYP,LOTR3
2003,2,71,1,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,41,2,-1,-8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,43,3,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,64,1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,53,4,4,8,8,1,2,50,2,8,9,-1,-1,-1,-1,-1,-1,-1
2003,2,33,3,3,5,3,1,1,50,2,1,3,-1,-1,-1,-1,-1,-1,-1
2003,2,50,6,3,2,1,-1,1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,1,32,5,6,2,3,1,2,60,1,-8,5,-1,-1,-1,-1,-1,-1,-1
2003,2,41,3,5,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,43,3,3,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,55,2,3,8,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,38,5,5,2,1,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,2,45,3,3,2,2,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,1,41,4,4,2,1,1,2,54,1,3,7,-1,-1,-1,-1,-1,-1,-1
2003,1,53,1,2,1,1,1,2,70,2,2,6,-1,-1,-1,-1,-1,-1,-1
2003,2,40,5,5,1,0,-1,1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
2003,1,64,6,2,-8,-8,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,41,2,3,-8,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,41,4,3,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,25,4,-1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,66,2,2,-8,2,1,1,70,2,2,4,-1,-1,-1,-1,-1,-1,-1
2003,2,47,2,3,0,0,3,1,48,2,5,2,-1,-1,-1,-1,-1,-1,-1
2003,2,29,5,5,3,2,1,1,40,2,7,7,-1,-1,-1,-1,-1,-1,-1
2003,2,28,4,5,2,2,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
2003,1,36,6,5,5,1,1,2,40,2,8,11,-1,-1,-1,-1,-1,-1,-1
2003,2,33,5,5,5,3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,33,5,5,3,2,1,1,50,2,8,5,-1,-1,-1,-1,-1,-1,-1
2003,1,48,2,3,8,8,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,1,52,3,3,0,0,-1,1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1
2003,1,56,5,5,1,0,1,1,50,2,2,5,-1,-1,-1,-1,-1,-1,-1
2003,1,45,3,3,1,1,-1,1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,2,34,5,5,5,3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,57,3,3,8,8,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,1,49,5,5,2,1,1,1,42,1,6,9,-1,-1,-1,-1,-1,-1,-1
2003,2,34,3,3,1,1,1,1,55,2,7,4,-1,-1,-1,-1,-1,-1,-1
2003,1,40,5,3,3,1,1,1,44,2,4,6,-1,-1,-1,-1,-1,-1,-1
2003,2,36,5,-1,5,3,2,-1,68,2,4,4,-1,-1,-1,-1,-1,-1,-1
2003,1,22,5,-1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,32,5,4,1,1,1,1,60,2,6,6,-1,-1,-1,-1,-1,-1,-1
2003,1,35,4,4,1,1,1,1,50,2,6,6,-1,-1,-1,-1,-1,-1,-1
2003,2,49,1,2,5,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,60,2,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,54,4,3,8,8,2,1,70,2,3,4,-1,-1,-1,-1,-1,-1,-1
2003,1,46,3,3,1,1,-1,1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1
2003,2,41,2,3,3,1,-8,1,-8,-8,-8,1,-1,-1,-1,-1,-1,-1,-1
2003,1,30,3,5,5,3,1,1,52,2,4,3,-1,-1,-1,-1,-1,-1,-1
2003,2,85,0,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,37,3,-1,2,1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1
2003,1,74,2,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,45,6,-1,3,1,2,-1,11,2,4,1,-1,-1,-1,-1,-1,-1,-1
2003,1,58,3,3,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,60,5,5,4,3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,68,5,4,8,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,41,3,-1,3,2,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1
2003,2,35,4,4,2,2,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
2003,1,36,5,-1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,27,5,-1,3,2,1,-1,48,1,9,5,-1,-1,-1,-1,-1,-1,-1
2003,1,44,3,3,0,0,1,2,66,1,8,6,-1,-1,-1,-1,-1,-1,-1
2003,2,29,4,-1,3,6,1,-1,45,1,7,5,-1,-1,-1,-1,-1,-1,-1
2003,1,39,3,3,1,1,1,1,50,2,5,3,-1,-1,-1,-1,-1,-1,-1
2003,1,54,5,5,3,2,1,2,55,2,3,4,-1,-1,-1,-1,-1,-1,-1
2003,1,56,5,3,-8,1,1,2,50,2,3,7,-1,-1,-1,-1,-1,-1,-1
2003,2,31,5,-1,4,2,1,-1,48,2,9,5,-1,-1,-1,-1,-1,-1,-1
2003,2,23,5,-1,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,42,2,2,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,25,5,-1,3,3,1,-1,55,2,3,3,-1,-1,-1,-1,-1,-1,-1
2003,2,25,5,-1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,65,5,3,5,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,34,3,3,0,0,1,2,60,2,1,4,-1,-1,-1,-1,-1,-1,-1
2003,2,41,3,3,2,2,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
2003,1,58,5,4,0,0,-1,2,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1
2003,1,44,2,2,1,0,-1,1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
2003,1,51,2,1,0,0,-1,2,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
2003,2,50,2,2,1,1,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,1,58,6,5,8,0,1,1,42,2,6,10,-1,-1,-1,-1,-1,-1,-1
2003,1,40,4,3,1,1,-1,2,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1
2003,2,20,5,-1,3,3,3,-1,35,2,1,1,-1,-1,-1,-1,-1,-1,-1
2003,2,54,2,3,1,1,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,2,18,3,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,33,4,5,3,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,18,3,-1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,60,2,1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,62,1,1,8,8,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,2,48,2,2,0,0,1,1,55,2,2,2,-1,-1,-1,-1,-1,-1,-1
2003,1,33,3,-1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,28,3,-1,2,2,1,-1,48,2,4,3,-1,-1,-1,-1,-1,-1,-1
2003,2,75,1,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,62,5,5,8,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,61,2,1,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,39,5,5,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,61,2,3,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,27,4,-1,3,3,1,-1,59,2,2,3,-1,-1,-1,-1,-1,-1,-1
2003,2,26,5,-1,2,2,2,-1,30,2,-8,4,-1,-1,-1,-1,-1,-1,-1
2003,1,37,5,5,3,2,2,1,40,1,9,9,-1,-1,-1,-1,-1,-1,-1
2003,2,37,5,5,1,1,1,1,44,2,4,5,-1,-1,-1,-1,-1,-1,-1
2003,2,27,5,-1,3,3,1,-1,45,2,2,4,-1,-1,-1,-1,-1,-1,-1
2003,1,27,5,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,22,3,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,65,1,2,8,8,3,1,60,2,1,2,-1,-1,-1,-1,-1,-1,-1
2003,1,43,3,3,0,0,-1,1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1
2003,1,41,4,5,5,4,1,2,44,1,6,3,-1,-1,-1,-1,-1,-1,-1
2003,1,26,5,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,46,5,3,3,1,-1,2,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1
2003,2,24,5,-1,5,3,1,-1,45,2,2,3,-1,-1,-1,-1,-1,-1,-1
2003,2,72,1,5,8,8,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,57,5,3,8,8,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,2,46,5,5,3,3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,61,1,2,8,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,33,6,5,5,2,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,1,32,4,4,3,3,-1,2,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1
2003,1,33,5,3,2,1,1,1,50,1,6,4,-1,-1,-1,-1,-1,-1,-1
2003,2,39,3,3,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,26,5,-1,5,3,1,-1,45,2,-8,4,-1,-1,-1,-1,-1,-1,-1
2003,2,35,4,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,24,5,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,21,6,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,29,4,4,5,3,1,1,55,2,5,6,-1,-1,-1,-1,-1,-1,-1
2003,2,73,5,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,42,5,-1,2,1,1,-1,45,1,8,7,-1,-1,-1,-1,-1,-1,-1
2003,1,45,3,3,8,8,-1,2,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1
2003,1,29,5,3,2,1,1,1,60,2,1,5,-1,-1,-1,-1,-1,-1,-1
2003,2,55,1,-1,1,0,3,-1,-8,-8,-8,1,-1,-1,-1,-1,-1,-1,-1
2003,1,31,5,-1,2,2,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1
2003,1,31,3,3,1,1,1,2,44,2,1,3,-1,-1,-1,-1,-1,-1,-1
2003,1,35,6,4,1,1,-1,2,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1
2003,2,31,3,3,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,25,3,5,2,2,-1,2,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
2003,2,22,5,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,24,4,-1,5,3,3,-1,40,2,2,4,-1,-1,-1,-1,-1,-1,-1
2003,1,27,3,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,61,1,1,1,1,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,2,28,6,-1,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,25,3,-1,3,3,1,-1,50,1,-8,4,-1,-1,-1,-1,-1,-1,-1
2003,2,29,5,5,1,1,1,1,44,1,9,6,-1,-1,-1,-1,-1,-1,-1
2003,2,55,3,5,1,8,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,45,3,2,0,0,-1,1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1
2003,1,30,4,-1,0,1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
2003,1,59,2,3,8,0,3,1,65,2,-8,3,-1,-1,-1,-1,-1,-1,-1
2003,2,22,3,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,80,8,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,23,4,-1,2,2,1,-1,44,2,1,2,-1,-1,-1,-1,-1,-1,-1
2003,1,33,4,4,3,2,1,2,40,2,6,3,-1,-1,-1,-1,-1,-1,-1
2003,2,24,5,-1,3,2,1,-1,40,2,3,3,-1,-1,-1,-1,-1,-1,-1
2003,1,55,2,2,1,0,-1,2,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,2,39,2,2,2,1,1,1,98,2,-8,2,-1,-1,-1,-1,-1,-1,-1
2003,2,45,2,2,0,0,1,1,50,2,5,2,-1,-1,-1,-1,-1,-1,-1
2003,2,22,4,-1,2,2,1,-1,45,1,4,3,-1,-1,-1,-1,-1,-1,-1
2003,1,26,5,-1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,40,5,6,5,3,1,1,30,2,2,5,-1,-1,-1,-1,-1,-1,-1
2003,2,41,5,6,5,5,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,36,5,6,3,2,2,1,33,2,1,2,-1,-1,-1,-1,-1,-1,-1
2003,2,32,5,6,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,63,2,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,73,1,2,1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,76,6,-1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,53,5,5,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,44,4,6,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,61,1,-1,1,1,2,-1,72,2,9,2,-1,-1,-1,-1,-1,-1,-1
2003,2,31,5,5,3,1,-1,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1
2003,2,45,3,3,-8,-8,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,34,3,3,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,20,5,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,1,50,5,5,3,3,1,2,48,2,9,9,-1,-1,-1,-1,-1,-1,-1
2003,1,45,6,5,3,1,2,1,40,2,6,7,-1,-1,-1,-1,-1,-1,-1
2003,1,30,5,4,3,3,1,2,45,1,6,6,-1,-1,-1,-1,-1,-1,-1
2003,2,30,3,3,1,1,1,1,50,2,2,2,-1,-1,-1,-1,-1,-1,-1
2003,1,25,5,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,73,3,5,5,8,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,32,3,3,1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
2003,2,32,3,4,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,2,34,5,5,3,2,1,1,40,2,5,6,-1,-1,-1,-1,-1,-1,-1
